Discriminación étnica y racial,Discriminación contra personas extranjeras o xenofobia,Discriminación contra las personas lesbianas-gays-bisexuales-transgénero e intersexuales (LGBTI),Discriminación de género,Discriminación por discapacidad
Mococho,Gringo,Homosexual,Patriarcado,Deforme
Fresa,Ilegal,Homofobia,Badana,Lelo
Cholo,Esclavo,Gay,Zorra,Maltrecho
Indio,Servidumbre,Aberración,Facilota,Discapacitado
Piojoso,Veneco,Bisexual,Cernícalo,Idiota
Negro,Nigga,Transgénero,Gaznápiro,Manco
Mugroso,Inmigrante,Intersexual,Mameluco,Paralítico
Esclavo,Delincuente,Travesti,Baboso,Ciego
Trapacero,Extranjero,Delicada,Nenita,Mudo
Blanquita,Paupérrimo,Marica,Alfeñique,Menso
Rastracueros,Judio,Sapatona,Mamacallo,Amorfo
Astroso,Refugiado,Afeminado,Perra,Sopenco
Barriobajero,Chusma,Androginia,Prepago,Adefecio
Bozal,Asiático,Arcoíris,Histérica,Retardado
Charolitos,Musulmanes,Armario,Golfa,Sordo
Morenos,Africanos,Subnormal,Prostituta,Anormal
Pardos,Hampón,Bollera,Vagabunda,Demente
Tizones,Huevón,Bardaje,Cretino,Lunático
Chocolates,Invasor,Bujarrón,Descerebrado,Psicótico
Caimitos,Gitana,Tijereta,Fariseo,Retrasado
Monos,Asilo,Soplapollas,Huevón,Parapléjico
Pordiosero,Hambriento,Puto,Lameplatos,Cuadripléjico
Mulato,Caliche,Heterosexual,Artabán,Vegetal
Runa,Colombiche,Maricón,Machista,Autista
Cholo,Paria,Marimacho,Mujerzuela,Mongólico
Salvaje,Deportado,Tortillera,Opresor,Minusválido
Sucio,Narcotraficante,Guarro,Interesada,Tonto
Grasa,Lacra,Meco,Meon,Enfermo
Prieto,Forastero,Mariposa,Patán,Torpe
Longo,Campesino,Cerdo,Pelele,Inútil
Chino,Montubio,Virado,Pelagato,Chiflado
Borrego,Foráneo,Desvirgado,Cabrón,Energúmeno
Pastuso,Escoria,Afeminado,Flacucha,Descerebrado
Oscuro,Gusano,Defectuoso,Sabandija,Lerdo
Gata,Montunos,Fenómeno,Zoquete,Mentecato
Guagua,Cholo,Homofóbica,Demente,Lisiada
Negra,Parásitos,Retrasado,Amanerado,Inválido
Criollo,Vividores,Enfermo,Carishina,Incapacitado
Cholo,Indocumentados,Bifóbica,Shunsho,Tullido
Negrata,Huevones,Delicada,Celosa,Cojo
Pelucon,Malinchista,Rosas,Cerda,Fracasado
Colorado,Villero,Comebolsas,Gallina,Impotente
Patucho,Colado,Bellota,Taita,Zonzo
Verdulera,Coyotero,Mujeruelo,Fulana,Enano
Privilegiado,Expatriados,Sidoso,Bruja,Engendro
Suco,Extraditado,Machona,Lorenzo,Monstruo
Aristócrata,Decomisado,Lameculos,Asistenta,Aborto
Ladrón,Regionales,Pandorga,Loba,Fenómeno
Gato,Secuestrado,Golosa,Muñeca,Aberración
Taparrabos,Sudaca,Closetero,Shunsho,Demonio
Moro,Necesitado,Mariquita,Bufón,Tarugo
